,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter.1,KD.1,Sig. str. %.1,Td %.1,Sub. att.1,Pass.1,Rev..1,Sig. str. Hits.1,Sig. str. Attempts.1,Total str. Hits.1,Total str. Attempts.1,Td Hits.1,Td Attempts.1,Head Hits.1,Head Attempts.1,Body Hits.1,Body Attempts.1,Leg Hits.1,Leg Attempts.1,Distance Hits.1,Distance Attempts.1,Clinch Hits.1,Clinch Attempts.1,Ground Hits.1,Ground Attempts.1,rounds,time,format,referee,url
0,Kevin Lee,0,51%,66%,0,2,1,41,80,61,100,2,3,35,74,6,6,0,0,31,65,0,0,10,15,Charles Oliveira,0,66%,0%,2,0,1,43,65,51,73,0,1,28,49,9,10,6,6,35,56,2,2,6,7,3,00:00:28,5 Rnd (5-5-5-5-5),Mike Beltran,http://ufcstats.com/fight-details/e0b323dae5bf4c90
1,Demian Maia,0,57%,100%,0,1,0,4,7,4,7,2,2,4,7,0,0,0,0,4,7,0,0,0,0,Gilbert Burns,1,81%,0%,0,0,0,13,16,14,17,0,0,10,13,1,1,2,2,5,7,0,0,8,9,1,00:02:34,3 Rnd (5-5-5),Osiris Maia,http://ufcstats.com/fight-details/e0b323dae5bf4c90
2,Renato Moicano,0,50%,100%,1,1,0,1,2,4,5,1,1,1,2,0,0,0,0,1,2,0,0,0,0,Damir Hadzovic,0,20%,0%,0,0,0,1,5,1,5,0,0,0,4,0,0,1,1,1,5,0,0,0,0,1,00:00:44,3 Rnd (5-5-5),Eduardo Herdy,http://ufcstats.com/fight-details/e0b323dae5bf4c90
3,Johnny Walker,0,74%,0%,0,2,1,37,50,91,112,0,0,33,45,2,3,2,2,10,14,8,9,19,27,Nikita Krylov,0,77%,37%,0,4,1,45,58,128,148,3,8,38,49,6,7,1,2,10,18,2,3,33,37,3,00:05:00,3 Rnd (5-5-5),Mike Beltran,http://ufcstats.com/fight-details/e0b323dae5bf4c90
4,Francisco Trinaldo,0,43%,0%,0,0,0,55,126,55,126,0,1,34,100,17,22,4,4,53,124,2,2,0,0,John Makdessi,0,54%,0%,0,0,0,67,123,68,124,0,0,15,54,16,26,36,43,65,121,2,2,0,0,3,00:05:00,3 Rnd (5-5-5),Osiris Maia,http://ufcstats.com/fight-details/e0b323dae5bf4c90
5,Jussier Formiga,0,46%,11%,1,3,1,15,32,61,81,1,9,9,24,4,5,2,3,12,28,0,1,3,3,Brandon Moreno,0,40%,0%,0,1,1,33,82,94,147,0,2,29,76,4,6,0,0,20,61,4,9,9,12,3,00:05:00,3 Rnd (5-5-5),Eduardo Herdy,http://ufcstats.com/fight-details/e0b323dae5bf4c90
6,Amanda Ribas,0,53%,33%,2,4,1,85,159,173,254,1,3,57,125,18,24,10,10,45,111,8,9,32,39,Randa Markos,0,46%,100%,0,0,0,36,77,56,99,1,1,22,58,3,7,11,12,33,74,3,3,0,0,3,00:05:00,3 Rnd (5-5-5),Camila Albuquerque,http://ufcstats.com/fight-details/e0b323dae5bf4c90
7,Elizeu Zaleski dos Santos,0,39%,50%,0,0,0,62,156,74,169,2,4,25,95,16,32,21,29,56,149,4,5,2,2,Aleksei Kunchenko,0,50%,0%,0,0,0,57,112,97,156,0,0,29,72,11,18,17,22,48,101,8,10,1,1,3,00:05:00,3 Rnd (5-5-5),Osiris Maia,http://ufcstats.com/fight-details/e0b323dae5bf4c90
8,Rani Yahya,0,53%,40%,0,3,1,24,45,58,83,2,5,12,30,5,7,7,8,19,38,1,2,4,5,Enrique Barzola,0,66%,50%,1,5,1,57,86,148,187,1,2,39,65,18,20,0,1,10,36,1,1,46,49,3,00:05:00,3 Rnd (5-5-5),Julio Catarino,http://ufcstats.com/fight-details/e0b323dae5bf4c90
9,Mayra Bueno Silva,0,60%,0%,0,0,0,88,146,92,150,0,0,45,92,20,22,23,32,73,130,15,16,0,0,Maryna Moroz,0,56%,25%,0,1,0,139,247,176,298,2,8,75,160,49,71,15,16,111,203,10,18,18,26,3,00:05:00,3 Rnd (5-5-5),Camila Albuquerque,http://ufcstats.com/fight-details/e0b323dae5bf4c90
10,Bruno Silva,0,46%,27%,0,2,0,45,97,60,112,3,11,25,69,12,17,8,11,35,82,8,10,2,5,David Dvorak,0,50%,0%,0,1,2,67,133,92,161,0,1,35,86,24,37,8,10,51,107,14,24,2,2,3,00:05:00,3 Rnd (5-5-5),Julio Catarino,http://ufcstats.com/fight-details/e0b323dae5bf4c90
11,Veronica Macedo,0,36%,0%,0,0,0,93,258,106,271,0,9,67,213,14,30,12,15,90,246,3,12,0,0,Bea Malecki,0,52%,0%,0,2,0,130,247,190,326,0,0,92,191,34,50,4,6,107,214,11,13,12,20,3,00:05:00,3 Rnd (5-5-5),Mike Beltran,http://ufcstats.com/fight-details/e0b323dae5bf4c90
12,Israel Adesanya,0,36%,0%,0,0,0,48,132,48,132,0,0,14,81,9,22,25,29,48,132,0,0,0,0,Yoel Romero,0,44%,0%,0,0,0,40,89,40,89,0,3,20,58,7,13,13,18,35,82,5,7,0,0,5,00:05:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90
13,Weili Zhang,0,40%,12%,0,0,0,165,408,170,413,1,8,96,305,11,22,58,81,158,393,7,15,0,0,Joanna Jedrzejczyk,0,51%,0%,0,0,0,186,360,196,370,0,0,96,230,32,47,58,83,171,342,15,18,0,0,5,00:05:00,5 Rnd (5-5-5-5-5),Keith Peterson,http://ufcstats.com/fight-details/e0b323dae5bf4c90
14,Beneil Dariush,1,60%,33%,2,1,0,12,20,17,28,1,3,8,16,3,3,1,1,12,20,0,0,0,0,Drakkar Klose,0,60%,0%,0,0,0,15,25,27,37,0,0,12,22,0,0,3,3,13,22,2,3,0,0,2,00:01:00,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/e0b323dae5bf4c90
15,Neil Magny,0,53%,57%,0,2,0,74,139,123,188,4,7,56,118,12,15,6,6,34,96,18,20,22,23,Jingliang Li,0,25%,66%,0,0,0,16,62,16,65,2,3,11,50,1,3,4,9,13,53,3,9,0,0,3,00:05:00,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/e0b323dae5bf4c90
16,Alex Oliveira,0,51%,20%,0,2,0,40,77,61,98,1,5,21,56,11,13,8,8,35,67,3,8,2,2,Max Griffin,0,46%,66%,0,2,1,23,50,62,96,2,3,17,40,4,8,2,2,20,47,3,3,0,0,3,00:05:00,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/e0b323dae5bf4c90
17,Sean O'Malley,0,81%,0%,0,0,0,18,22,18,22,0,0,9,11,6,7,3,4,13,17,0,0,5,5,Jose Quinonez,0,0%,0%,0,0,0,0,11,0,11,0,0,0,7,0,1,0,3,0,11,0,0,0,0,1,00:02:02,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90
18,Mark Madsen,0,25%,66%,0,3,0,15,58,20,65,8,12,14,57,0,0,1,1,5,42,3,5,7,11,Austin Hubbard,0,54%,0%,0,0,0,41,75,45,79,0,0,25,48,8,14,8,13,37,67,4,8,0,0,3,00:05:00,3 Rnd (5-5-5),Chris Tognoni,http://ufcstats.com/fight-details/e0b323dae5bf4c90
19,Rodolfo Vieira,0,50%,100%,1,2,0,5,10,10,15,2,2,5,10,0,0,0,0,0,3,0,0,5,7,Saparbeg Safarov,0,50%,0%,0,0,0,5,10,7,12,0,0,2,7,1,1,2,2,5,10,0,0,0,0,1,00:02:58,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/e0b323dae5bf4c90
20,Gerald Meerschaert,1,45%,100%,1,1,0,86,187,86,188,1,1,66,166,20,21,0,0,81,177,5,10,0,0,Deron Winn,0,47%,50%,0,0,0,53,111,53,111,1,2,37,93,11,13,5,5,47,103,6,8,0,0,3,00:02:13,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/e0b323dae5bf4c90
21,Giga Chikadze,0,31%,0%,0,0,1,38,122,40,125,0,0,19,88,10,23,9,11,37,120,0,1,1,1,Jamall Emmers,0,42%,33%,0,1,0,54,127,57,130,2,6,32,94,15,23,7,10,48,118,3,5,3,4,3,00:05:00,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/e0b323dae5bf4c90
22,Danaa Batgerel,1,51%,0%,0,0,0,17,33,17,33,0,0,16,29,0,2,1,2,12,27,0,1,5,5,Guido Cannetti,0,47%,0%,0,0,0,11,23,11,23,0,0,0,7,3,6,8,10,9,21,2,2,0,0,1,00:03:01,3 Rnd (5-5-5),Chris Tognoni,http://ufcstats.com/fight-details/e0b323dae5bf4c90
23,Joseph Benavidez,0,48%,0%,0,0,0,46,94,46,94,0,2,28,63,8,13,10,18,36,78,10,16,0,0,Deiveson Figueiredo,1,51%,100%,1,0,0,25,49,25,49,1,1,18,39,7,10,0,0,20,44,2,2,3,3,2,00:01:54,5 Rnd (5-5-5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90
24,Felicia Spencer,0,62%,50%,0,2,0,40,64,68,98,1,2,38,61,1,1,1,2,9,24,1,1,30,39,Zarah Fairn,0,46%,0%,0,0,0,13,28,14,29,0,0,12,27,1,1,0,0,12,26,1,2,0,0,1,00:03:37,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90
25,Ion Cutelaba,0,45%,0%,0,0,0,5,11,5,11,0,0,3,8,0,1,2,2,5,11,0,0,0,0,Magomed Ankalaev,0,66%,0%,0,0,0,8,12,8,12,0,0,6,10,1,1,1,1,8,12,0,0,0,0,1,00:00:38,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/e0b323dae5bf4c90
26,Megan Anderson,1,50%,0%,0,0,1,7,14,32,39,0,1,6,12,1,2,0,0,5,11,2,2,0,1,Norma Dumont,0,31%,33%,0,0,0,5,16,14,25,1,3,1,9,4,5,0,2,1,11,4,5,0,0,1,00:03:31,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/e0b323dae5bf4c90
27,Grant Dawson,0,68%,66%,2,6,0,15,22,42,52,2,3,14,21,1,1,0,0,1,2,0,0,14,20,Darrick Minner,0,57%,100%,2,0,1,4,7,26,29,1,1,1,3,1,1,2,3,2,5,1,1,1,1,2,00:01:38,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/e0b323dae5bf4c90
28,Gabriel Silva,0,31%,33%,1,0,0,31,97,43,112,2,6,22,85,6,9,3,3,27,89,1,3,3,5,Kyler Phillips,0,52%,50%,1,4,0,89,168,112,195,2,4,66,139,13,19,10,10,58,124,11,15,20,29,3,00:05:00,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90
29,Brendan Allen,0,68%,0%,0,2,0,20,29,38,52,0,1,17,26,3,3,0,0,2,3,2,3,16,23,Tom Breese,0,80%,0%,0,0,0,4,5,5,6,0,1,0,0,4,5,0,0,0,1,4,4,0,0,1,00:04:47,3 Rnd (5-5-5),Bill Bookwalter,http://ufcstats.com/fight-details/e0b323dae5bf4c90
30,Marcin Tybura,0,40%,25%,0,3,0,43,106,116,199,2,8,36,90,7,16,0,0,15,63,5,8,23,35,Serghei Spivac,0,31%,0%,0,0,0,26,83,40,101,0,1,23,80,3,3,0,0,20,74,6,9,0,0,3,00:05:00,3 Rnd (5-5-5),Bill Bookwalter,http://ufcstats.com/fight-details/e0b323dae5bf4c90
31,Luis Pena,0,64%,0%,1,3,0,27,42,58,95,0,1,24,38,1,2,2,2,6,15,2,3,19,24,Steve Garcia,0,53%,100%,1,0,0,21,39,98,153,1,1,15,32,2,3,4,4,14,27,1,1,6,11,3,00:05:00,3 Rnd (5-5-5),Mike King,http://ufcstats.com/fight-details/e0b323dae5bf4c90
32,Jordan Griffin,0,65%,0%,3,0,0,15,23,20,28,0,1,13,21,2,2,0,0,9,17,3,3,3,3,TJ Brown,0,68%,100%,0,4,0,32,47,91,119,7,7,26,39,6,7,0,1,9,22,10,10,13,15,2,00:03:38,3 Rnd (5-5-5),Mike King,http://ufcstats.com/fight-details/e0b323dae5bf4c90
33,Aalon Cruz,0,16%,0%,0,0,0,2,12,2,12,0,1,2,4,0,4,0,4,2,12,0,0,0,0,Spike Carlyle,0,68%,0%,0,1,0,20,29,29,38,0,0,19,27,0,1,1,1,2,6,4,5,14,18,1,00:01:25,3 Rnd (5-5-5),Scott Howard,http://ufcstats.com/fight-details/e0b323dae5bf4c90
34,Sean Brady,0,51%,44%,1,6,0,47,91,125,191,4,9,30,71,3,3,14,17,32,73,1,1,14,17,Ismail Naurdiev,0,42%,0%,0,0,0,37,87,38,88,0,1,16,64,10,10,11,13,33,79,4,8,0,0,3,00:05:00,3 Rnd (5-5-5),Scott Howard,http://ufcstats.com/fight-details/e0b323dae5bf4c90
35,Paul Felder,0,47%,0%,0,0,0,110,230,119,243,0,1,64,170,19,26,27,34,105,218,5,12,0,0,Dan Hooker,0,55%,20%,0,1,0,122,221,133,234,1,5,72,161,10,13,40,47,120,217,2,4,0,0,5,00:05:00,5 Rnd (5-5-5-5-5),Marc Goddard,http://ufcstats.com/fight-details/e0b323dae5bf4c90
36,Jimmy Crute,0,25%,80%,1,4,0,2,8,13,23,8,10,2,7,0,1,0,0,2,6,0,2,0,0,Michal Oleksiejczuk,0,50%,0%,0,0,0,3,6,7,10,0,0,3,6,0,0,0,0,3,6,0,0,0,0,1,00:03:29,3 Rnd (5-5-5),John Sharp,http://ufcstats.com/fight-details/e0b323dae5bf4c90
37,Karolina Kowalkiewicz,0,44%,0%,1,0,0,38,85,51,103,0,1,19,55,7,14,12,16,35,79,3,6,0,0,Xiaonan Yan,0,52%,83%,0,3,0,93,178,157,254,5,6,59,138,20,23,14,17,73,151,7,10,13,17,3,00:05:00,3 Rnd (5-5-5),Mark Craig,http://ufcstats.com/fight-details/e0b323dae5bf4c90
38,Ben Sosoli,0,29%,0%,0,0,0,5,17,5,17,0,0,4,16,1,1,0,0,5,17,0,0,0,0,Marcos Rogerio de Lima,1,55%,0%,0,0,0,19,34,19,34,0,0,15,30,2,2,2,2,18,33,0,0,1,1,1,00:01:28,3 Rnd (5-5-5),Neil Swailes,http://ufcstats.com/fight-details/e0b323dae5bf4c90
39,Brad Riddell,1,52%,100%,0,2,0,38,72,60,97,1,1,21,49,12,17,5,6,20,45,3,3,15,24,Magomed Mustafaev,0,60%,72%,0,0,0,28,46,36,56,8,11,10,23,7,11,11,12,12,27,8,10,8,9,3,00:05:00,3 Rnd (5-5-5),John Sharp,http://ufcstats.com/fight-details/e0b323dae5bf4c90
40,Kevin Aguilar,0,32%,0%,0,0,0,9,28,9,28,0,0,4,22,3,4,2,2,9,28,0,0,0,0,Zubaira Tukhugov,2,77%,0%,0,0,0,28,36,28,37,0,0,26,34,2,2,0,0,15,22,0,0,13,14,1,00:03:21,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/e0b323dae5bf4c90
41,Jalin Turner,0,60%,0%,3,4,0,55,91,90,129,0,1,38,65,17,25,0,1,14,37,9,15,32,39,Josh Culibao,0,42%,0%,0,0,0,12,28,12,30,0,3,7,21,4,6,1,1,9,23,3,5,0,0,2,00:03:01,3 Rnd (5-5-5),Mark Craig,http://ufcstats.com/fight-details/e0b323dae5bf4c90
42,Jake Matthews,1,45%,57%,0,3,0,33,73,71,112,4,7,32,70,1,3,0,0,26,62,4,5,3,6,Emil Meek,0,42%,0%,0,0,0,50,118,85,162,0,1,35,95,10,12,5,11,19,78,21,29,10,11,3,00:05:00,3 Rnd (5-5-5),John Sharp,http://ufcstats.com/fight-details/e0b323dae5bf4c90
43,Callan Potter,0,46%,100%,0,1,0,7,15,8,17,1,1,6,14,1,1,0,0,5,12,2,3,0,0,Kenan Song,1,48%,0%,0,0,0,17,35,21,40,0,0,12,29,5,6,0,0,14,29,2,5,1,1,1,00:02:20,3 Rnd (5-5-5),Neil Swailes,http://ufcstats.com/fight-details/e0b323dae5bf4c90
44,Kai Kara-France,0,30%,0%,0,0,0,78,257,78,257,0,4,51,218,9,17,18,22,72,246,5,9,1,2,Tyson Nam,0,32%,0%,0,0,0,50,153,52,155,0,4,34,131,11,17,5,5,48,146,2,7,0,0,3,00:05:00,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/e0b323dae5bf4c90
45,Loma Lookboonmee,0,40%,100%,0,0,0,53,130,68,156,1,1,24,83,15,29,14,18,43,115,10,14,0,1,Angela Hill,0,38%,25%,1,1,0,48,126,70,163,1,4,38,101,8,22,2,3,31,90,14,31,3,5,3,00:05:00,3 Rnd (5-5-5),John Sharp,http://ufcstats.com/fight-details/e0b323dae5bf4c90
46,Priscila Cachoeira,1,44%,0%,0,0,0,8,18,8,18,0,0,8,18,0,0,0,0,8,17,0,0,0,1,Shana Dobson,0,45%,0%,0,0,0,5,11,5,11,0,0,4,9,1,2,0,0,5,11,0,0,0,0,1,00:00:40,3 Rnd (5-5-5),Neil Swailes,http://ufcstats.com/fight-details/e0b323dae5bf4c90
47,Corey Anderson,0,40%,0%,0,0,0,11,27,11,27,0,0,4,19,3,4,4,4,11,27,0,0,0,0,Jan Blachowicz,1,41%,0%,0,0,0,13,31,13,31,0,0,11,27,1,3,1,1,12,29,0,1,1,1,1,00:03:08,5 Rnd (5-5-5-5-5),Herb Dean,http://ufcstats.com/fight-details/e0b323dae5bf4c90
48,Diego Sanchez,0,39%,0%,0,0,0,25,64,29,68,0,6,6,34,10,17,9,13,23,61,1,2,1,1,Michel Pereira,1,58%,100%,0,0,0,53,91,56,94,2,2,20,52,28,33,5,6,39,75,10,11,4,5,3,00:03:09,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/e0b323dae5bf4c90
49,Montana De La Rosa,1,40%,33%,1,6,0,27,67,74,128,1,3,15,51,8,10,4,6,14,51,4,6,9,10,Mara Romero Borella,0,43%,50%,0,0,0,23,53,64,99,1,2,15,44,3,4,5,5,15,44,5,6,3,3,3,00:05:00,3 Rnd (5-5-5),Joe Coca,http://ufcstats.com/fight-details/e0b323dae5bf4c90
50,Brok Weaver,0,55%,0%,1,0,0,5,9,6,10,0,0,3,6,0,0,2,3,4,7,0,1,1,1,Kazula Vargas,0,51%,50%,0,0,0,15,29,50,64,1,2,6,14,5,10,4,5,9,21,3,5,3,3,1,00:04:02,3 Rnd (5-5-5),Robert Romero,http://ufcstats.com/fight-details/e0b323dae5bf4c90
51,Rogerio Bontorin,0,45%,0%,0,0,0,9,20,24,35,0,2,3,14,5,5,1,1,3,13,5,6,1,1,Ray Borg,0,77%,52%,0,6,0,35,45,60,74,10,19,35,44,0,1,0,0,2,7,12,16,21,22,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/e0b323dae5bf4c90
52,Lando Vannata,0,52%,0%,0,0,0,99,188,100,189,0,3,36,107,29,38,34,43,98,185,1,3,0,0,Yancy Medeiros,0,35%,0%,0,0,0,68,193,68,193,0,1,42,163,14,17,12,13,66,191,2,2,0,0,3,00:05:00,3 Rnd (5-5-5),,http://ufcstats.com/fight-details/e0b323dae5bf4c90
53,Tim Means,0,43%,33%,0,0,0,41,95,41,95,1,3,19,61,12,24,10,10,41,92,0,3,0,0,Daniel Rodriguez,1,40%,0%,1,0,0,49,121,49,121,0,0,37,107,5,7,7,7,49,119,0,2,0,0,2,00:03:37,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/e0b323dae5bf4c90
54,John Dodson,1,54%,0%,0,0,0,39,72,57,91,0,0,31,64,5,5,3,3,31,62,4,5,4,5,Nathaniel Wood,0,46%,100%,0,0,0,46,99,68,124,1,1,24,63,6,15,16,21,40,92,5,6,1,1,3,00:00:16,3 Rnd (5-5-5),Joe Coca,http://ufcstats.com/fight-details/e0b323dae5bf4c90
55,Jim Miller,0,47%,0%,0,0,0,58,121,66,131,0,2,33,93,13,15,12,13,44,104,11,14,3,3,Scott Holtzman,0,44%,100%,0,1,0,88,197,120,231,1,1,77,180,5,8,6,9,70,169,10,16,8,12,3,00:05:00,3 Rnd (5-5-5),Robert Romero,http://ufcstats.com/fight-details/e0b323dae5bf4c90
56,Devin Clark,0,72%,75%,0,3,0,39,54,122,150,3,4,19,32,13,14,7,8,9,20,3,4,27,30,Dequan Townsend,0,16%,0%,0,0,0,6,36,37,69,0,0,4,33,2,3,0,0,2,32,4,4,0,0,3,00:05:00,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/e0b323dae5bf4c90
57,Casey Kenney,0,38%,0%,0,0,0,45,118,47,120,0,0,22,87,10,17,13,14,42,112,3,6,0,0,Merab Dvalishvili,0,34%,50%,0,3,0,63,181,114,241,12,24,30,137,14,23,19,21,43,156,7,8,13,17,3,00:05:00,3 Rnd (5-5-5),Joe Coca,http://ufcstats.com/fight-details/e0b323dae5bf4c90
58,Macy Chiasson,0,51%,37%,0,4,0,86,166,154,253,3,8,48,120,38,46,0,0,16,49,45,61,25,56,Shanna Young,0,56%,0%,0,1,0,40,71,50,83,0,1,32,57,7,12,1,2,24,54,16,17,0,0,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/e0b323dae5bf4c90
59,Mark De La Rosa,0,36%,0%,0,0,0,45,124,45,124,0,2,21,91,15,24,9,9,44,122,1,2,0,0,Raulian Paiva,1,42%,0%,0,0,0,54,126,67,139,0,0,33,98,10,13,11,15,45,116,8,9,1,1,2,00:04:42,3 Rnd (5-5-5),Robert Romero,http://ufcstats.com/fight-details/e0b323dae5bf4c90
60,Jon Jones,0,62%,22%,0,0,0,104,166,107,170,2,9,31,74,30,39,43,53,101,161,3,5,0,0,Dominick Reyes,0,44%,0%,0,0,0,116,259,119,263,0,0,41,169,48,55,27,35,109,252,7,7,0,0,5,00:05:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90
61,Valentina Shevchenko,0,61%,100%,0,2,0,40,65,57,82,3,3,26,48,3,4,11,13,23,48,0,0,17,17,Katlyn Chookagian,0,30%,0%,0,0,0,17,56,27,68,0,0,0,28,5,9,12,19,17,56,0,0,0,0,3,00:01:03,5 Rnd (5-5-5-5-5),Jacob Montalvo,http://ufcstats.com/fight-details/e0b323dae5bf4c90
62,Juan Adams,0,63%,0%,0,0,0,7,11,7,11,0,0,3,4,2,4,2,3,7,11,0,0,0,0,Justin Tafa,1,66%,0%,0,0,0,10,15,10,15,0,0,5,9,0,1,5,5,8,11,1,1,1,3,1,00:01:59,3 Rnd (5-5-5),Jeff Rexroad,http://ufcstats.com/fight-details/e0b323dae5bf4c90
63,Mirsad Bektic,0,28%,30%,1,6,0,17,60,29,74,3,10,14,56,3,4,0,0,14,54,3,6,0,0,Dan Ige,0,48%,50%,0,1,0,43,88,64,117,1,2,27,70,15,17,1,1,28,68,12,16,3,4,3,00:05:00,3 Rnd (5-5-5),Kerry Hatley,http://ufcstats.com/fight-details/e0b323dae5bf4c90
64,Derrick Lewis,0,40%,0%,0,0,0,20,50,27,58,0,1,12,39,8,10,0,1,12,38,8,12,0,0,Ilir Latifi,0,41%,42%,0,2,0,5,12,62,77,3,7,2,8,1,1,2,3,3,8,2,4,0,0,3,00:05:00,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90
65,Trevin Giles,0,47%,0%,1,3,1,71,148,88,167,0,0,63,139,6,7,2,2,36,92,7,16,28,40,James Krause,0,55%,25%,4,1,0,44,80,59,98,1,4,18,49,8,12,18,19,39,74,5,6,0,0,3,00:05:00,3 Rnd (5-5-5),Jacob Montalvo,http://ufcstats.com/fight-details/e0b323dae5bf4c90
66,Lauren Murphy,0,40%,50%,0,1,1,80,197,107,228,2,4,70,181,9,15,1,1,75,190,5,7,0,0,Andrea Lee,0,38%,0%,1,0,0,104,267,107,271,0,3,51,194,34,51,19,22,99,261,4,5,1,1,3,00:05:00,3 Rnd (5-5-5),Jeff Rexroad,http://ufcstats.com/fight-details/e0b323dae5bf4c90
67,Alex Morono,0,25%,0%,0,0,0,1,4,1,4,0,0,1,3,0,1,0,0,1,4,0,0,0,0,Khaos Williams,1,58%,0%,0,0,0,10,17,10,17,0,1,6,12,4,4,0,1,4,10,4,4,2,3,1,00:00:27,3 Rnd (5-5-5),Kerry Hatley,http://ufcstats.com/fight-details/e0b323dae5bf4c90
68,Miles Johns,0,29%,0%,0,0,0,13,44,13,44,0,0,11,42,0,0,2,2,13,44,0,0,0,0,Mario Bautista,1,26%,0%,0,0,0,18,67,18,67,0,0,18,64,0,0,0,3,9,57,0,0,9,10,2,00:01:41,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90
69,Domingo Pilarte,0,25%,0%,0,0,0,1,4,1,4,0,0,0,3,1,1,0,0,0,2,1,2,0,0,Journey Newson,1,60%,0%,0,0,0,6,10,7,13,0,0,6,10,0,0,0,0,1,5,0,0,5,5,1,00:00:38,3 Rnd (5-5-5),Jacob Montalvo,http://ufcstats.com/fight-details/e0b323dae5bf4c90
70,Andre Ewell,0,45%,0%,0,0,0,80,177,85,184,0,0,32,123,43,49,5,5,78,172,2,5,0,0,Jonathan Martinez,0,46%,0%,0,0,0,66,142,74,151,0,3,30,88,15,27,21,27,65,141,1,1,0,0,3,00:05:00,3 Rnd (5-5-5),Kerry Hatley,http://ufcstats.com/fight-details/e0b323dae5bf4c90
71,Austin Lingo,0,19%,100%,0,1,0,12,61,16,68,1,1,5,47,5,10,2,4,11,56,1,5,0,0,Youssef Zalal,0,56%,50%,2,2,0,31,55,49,80,6,12,16,37,6,9,9,9,28,51,2,2,1,2,3,00:05:00,3 Rnd (5-5-5),Jeff Rexroad,http://ufcstats.com/fight-details/e0b323dae5bf4c90
72,Curtis Blaydes,0,46%,0%,0,0,0,28,60,29,62,0,6,20,51,3,3,5,6,19,51,9,9,0,0,Junior Dos Santos,0,23%,0%,0,0,0,7,30,7,30,0,0,3,23,2,4,2,3,7,30,0,0,0,0,2,00:01:06,5 Rnd (5-5-5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90
73,Rafael Dos Anjos,0,38%,0%,0,0,0,14,36,23,52,0,1,2,23,4,4,8,9,14,36,0,0,0,0,Michael Chiesa,0,17%,75%,0,3,0,9,51,54,107,6,8,6,45,2,5,1,1,9,49,0,1,0,1,3,00:05:00,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/e0b323dae5bf4c90
74,Jordan Espinosa,0,15%,0%,0,0,0,2,13,2,13,0,0,1,9,0,0,1,4,2,13,0,0,0,0,Alex Perez,0,22%,100%,1,1,0,2,9,16,23,1,1,0,6,0,1,2,2,2,9,0,0,0,0,1,00:02:33,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/e0b323dae5bf4c90
75,Hannah Cifers,0,42%,0%,0,0,0,46,108,50,114,0,0,16,67,12,19,18,22,43,100,3,8,0,0,Angela Hill,0,45%,100%,0,2,0,70,155,80,170,1,1,57,136,12,18,1,1,38,106,3,6,29,43,2,00:04:26,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/e0b323dae5bf4c90
